ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
2173,COP9 signalosome complex,Mammalia,CSN,COS-7 cells; liver,A0A0D9RE31;A0A0D9RFH6;A0A0D9RNP2;A0A0D9S4T5;Q8VBV7,103245643;103226489;103236922;103243750;108679,MI:0019-coimmunoprecipitation;MI:0276-blue native page,GO:0001889;GO:0005634,liver development;nucleus,47.03.11.07;70.10,liver;nucleus,15304329,"CSN is a key player in the functional regulation of hepatopoietin (HPO).It also functions at the interface between signal transduction, ubiquitin-dependent proteolysis, and developmental control.",None,"Since COPS8 from green monkey was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.",Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Chlorocebus sabaeus (Green monkey) (Cercopithecus ;Mus musculus (Mouse),COP9 signalosome subunit 2;Sulfhydryl oxidase;COP9 signalosome subunit 5;G protein pathway suppressor 1;COP9 signalosome complex subunit 8,COPS2;GFER;COPS5;GPS1;Cops8,None;None;None;None;Csn8
2225,MutS-alpha-histone H4 complex,Mouse,None,B-cell,P43247;P54276;P62806,17685;17688;None,MI:0402-chromatin immunoprecipitation assays,GO:0006312;GO:0030183,mitotic recombination;B cell differentiation,10.01.05.03.03;43.03.07.02.01.01,somatic / mitotic recombination;B-cell,15753043,MSH2 associates with transcribed S regions in primary murine B cells activated for switch recombination. Electron microscopic imaging reveals that MutSalpha binds in vitro to DNA structures formed within transcribed S regions and mediates their synapsis.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Histone H4,Msh2;Msh6;Hist1h4a;,None;Gtmbp;; H4-53; H4-12; ; ; ; ; ; ; ; Hist2h4;
2281,Protein kinase A II alpha homodimer complex,Mouse,None,None,P12367,19087,MI:0077- nuclear magnetic resonance,None,None,None,None,11985580,None,None,None,Mus musculus (Mouse),cAMP-dependent protein kinase type II-alpha regulatory subunit,Prkar2a,None
2360,Itgav-Itgb3-Gsn complex,Mouse,integrin complex,None,O54890;P13020;P43406,16416;227753;16410,MI:0004- affinity chromatography technologies,GO:0005515,protein binding,16.01,protein binding,11577104,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-3 ;Gelsolin;Integrin alpha-V,Itgb3;Gsn;Itgav,;Gsb;None
2386,Itga-Itgb1-Ppap2b complex,Mouse,integrin complex,None,P09055;P11688;Q99JY8,16412;16402;67916,MI:0004- affinity chromatography technologies,GO:0007155;GO:0001568;GO:0001944;GO:0005886,cell adhesion;blood vessel development;vasculature development;plasma membrane,34.07;47.03.03.02;70.02,cell adhesion;vessels;eukaryotic plasma membrane / membrane attached,16099422,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-1;Integrin alpha-5;Phospholipid phosphatase 3,Itgb1;Itga5;Plpp3,None;Vla5;Lpp3 Ppap2b
2415,Itgb1-Rap1a-Prkd1 complex,Mouse,None,None,P09055;P62835;Q62101,16412;109905;18760,MI:0019-coimmunoprecipitation,GO:0033623,regulation of integrin activation,None,None,16111639,"The authors propose a novel adaptor protein function for PKD1 in regulating integrin functional activity in T cells that involves rapid, transient membrane translocation of both PKD1 and Rap1 to beta-1 integrins.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-1;Ras-related protein Rap-1A;Serine/threonine-protein kinase D1,Itgb1;Rap1a;Prkd1,"None;Krev-1;Pkcm, Pkd, Prkcm"
2427,Itga4-Itgb1-Adam2 complex,Mouse,integrin complex,None,P09055;Q00651;Q60718,16412;16401;11495,MI:0019- coimmunoprecipitation; MI:0031- protein cross-linking with a bifunctional reagent,GO:0016337,single organismal cell-cell adhesion,34.07.01,cell-cell adhesion,9889149,This complex mediates sperm-egg fusion.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-1;Integrin alpha-4 ;Disintegrin and metalloproteinase domain-containing protein 2,Itgb1;Itga4;Adam2,None;;Ftnb
2475,Cbl-Crkl-Rapgef1 complex,Mouse,None,None,P22682;P47941;Q91ZZ2,12402;12929;107746,MI:0006- anti bait coimmunoprecipitation,GO:0007229;GO:0016477,integrin-mediated signaling pathway;cell migration,30.05.02.26;34.05.01,integrin receptor signalling pathway;cell migration,10608804,The complex may be involved in migration signaling.,Crkl is one of the major tyrosine phosphoproteins detected in cells from patients with chronic myelogenous leukemia.,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),E3 ubiquitin-protein ligase CBL;Crk-like protein;Guanine nucleotide exchange factor,Cbl;Crkl;Rapgef1,None;Crkol;Grf2
2548,"Egfr-Grb2-mSos1 complex, EGF stimulated",Mouse,None,None,Q01279;Q2M4G6;Q60631,13649;20662;14784,MI:0107- surface plasmon resonance,GO:0007186;GO:0007173,G-protein coupled receptor signaling pathway;epidermal growth factor receptor signaling pathway,30.05.02.24;30.05.01.12.01,G-protein coupled receptor signalling pathway;EGF-receptor signalling pathway,8940013,"The authors analysed the binding of Grb2-mSos1 to different phosphopeptides Shc pYVNV, EGFR1068, IR-PEP. Shc pYVNV showed the highest affinity.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Epidermal growth factor receptor ;Son of sevenless like-protein 1 ;Growth factor receptor-bound protein 2,Egfr;Sos1;Grb2,;;None
2550,"Frs2-Grb2-Shp2 complex, FGF stimulated",Mouse,None,None,P35235;Q60631;Q8C180,19247;14784;327826,MI:0007- anti tag coimmunoprecipitation,GO:0008543,fibroblast growth factor receptor signaling pathway,30.05.01.12.03,FGF-receptor signalling pathway,9632781,On the basis of further experiments the authors conclude that FGF stimulation leads to tyrosine phosphorylation of Shp2 and association with the Grb2-Sos complex.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein phosphatase non-receptor type 11;Growth factor receptor-bound protein 2;Fibroblast growth factor receptor substrate 2,Ptpn11;Grb2;Frs2,None;None;Frs2a
2583,CSK-GAP-A.p62 complex,Mouse,None,None,P41241;Q60749,12988;20218,MI:0019- coimmunoprecipitation; MI:0096- pull down,GO:0023052;GO:0005886;GO:0005856,signaling;plasma membrane;cytoskeleton,30.01;70.02;70.04,cellular signalling;eukaryotic plasma membrane / membrane attached;cytoskeleton,7544435,The interaction requires the SH2 domain of CSK.,None,"The authors differentiate between GAP-A.p62 and Sam68, but there is no other corresponding entry than Swiss:Q60749 in SWISS-DB.",Mus musculus (Mouse);Mus musculus (Mouse),"Tyrosine-protein kinase CSK ;KH domain-containing, RNA-binding, signal transduction-associated protein 1",Csk;Khdrbs1,;
2584,c-Src-Muc1 complex,Mouse,None,None,P41241;Q02496,12988;17829,MI:0019- coimmunoprecipitation; MI:0663- confocal microscopy,GO:0023052;GO:0005886,signaling;plasma membrane,30.01;70.02,cellular signalling;eukaryotic plasma membrane / membrane attached,15897873,The authors use MMTV-PyV MT (MMTV-driven polyoma middle T-antigen transgenic mice)  as model to characterize the effect of Muc1 expression on c-Src signaling. Muc1 and c-Src colocalize in the MT tumors mainly at the apical membrane.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Tyrosine-protein kinase CSK ;Mucin-1,Csk;Muc1,;Muc-1
2585,nKHC-KLC1-uKHC kinesin complex,Mouse,None,brain,O88447;P33175;Q61768,16593;16572;16573,MI:0019- coimmunoprecipitation,GO:0007018;GO:0050896;GO:0015630,microtubule-based movement;response to stimulus;microtubule cytoskeleton,20.09.14.01;36.25;70.04.05,tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton,9624122,"The authors demonstrate that neither KLC nor KHC form heterodimers in the native complex in brain and that there is no specificity in the interaction of the kinesin light chains with the kinesin heavy chains. Immunprecipitation done from brain lysate with KLC1 antibodies shows nKHC, uKHC and KLC1, but not KLC2.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Kinesin light chain 1;Kinesin heavy chain isoform 5A;Kinesin-1 heavy chain,Klc1;Kif5a;Kif5b,"Kns2;Kiaa4086 Kif5 Nkhc1;Khcs, Kns1"
2586,KLC2-nKHC-uKHC kinesin complex,Mouse,None,brain,O88448;P33175;Q61768,16594;16572;16573,MI:0019- coimmunoprecipitation,GO:0007018;GO:0050896;GO:0015630,microtubule-based movement;response to stimulus;microtubule cytoskeleton,20.09.14.01;36.25;70.04.05,tubulin dependent transport;animal specific systemic sensing and response;microtubule cytoskeleton,9624122,"The authors demonstrate that neither KLC nor KHC form heterodimers in the native complex in brain and that there is no specificity in the interaction of the kinesin light chains with the kinesin heavy chains. Immunprecipitation done from brain lysate with KLC2 antibodies shows nKHC, uKHC and KLC2, but not KLC1.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Kinesin light chain 2;Kinesin heavy chain isoform 5A;Kinesin-1 heavy chain,Klc2;Kif5a;Kif5b,"None;Kiaa4086 Kif5 Nkhc1;Khcs, Kns1"
2729,PIP complex,Mouse,None,kidney,O55222;Q99JW4;Q9EPC1,16202;110829;57342,MI:0019-coimmunoprecipitation,GO:0007155;GO:0043067,cell adhesion;regulation of programmed cell death,34.07;40.10.02.04,cell adhesion;regulation of apoptosis,15872073,Disruption of the PINCH-1-ILK-alpha-parvin complex significantly reduced the podocyte-matrix adhesion and foot process formation. The PIP complex promotes glomerular mesangial matrix deposition and protects podocytes from apoptosis.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin-linked protein kinase;LIM and senescent cell antigen-like-containing domain protein 1;Alpha-parvin,Ilk;Lims1;Parva,None;Pinch1;Actp
2750,Gata1-Fog1-MeCP1 complex,Mouse,None,None,O09106;O35615;P17679;P70288;Q60972;Q60973;Q6PDQ2;Q8K4B0;Q8VHR5;Q924K8;Q9R190;Q9Z2D8;Q9Z2E1,433759;22761;14460;15182;19646;245688;107932;116870;229542;116871;23942;17192;17191,MI:0019- coimmunoprecipitation,GO:0006265;GO:0045892;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;42.10.03;70.10,DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;nucleus,15920471,"Experiments strongly suggest that GATA-1, FOG-1 and MeCP1 form the repressive complex responsible for GATA-2 silencing.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Zinc finger protein ZFPM1;Erythroid transcription factor;Histone deacetylase 2;Histone-binding protein RBBP4;Histone-binding protein RBBP7;Chromodomain-helicase-DNA-binding protein 4;Metastasis-associated protein MTA1;Transcriptional repressor p66-beta ;Metastasis-associated protein MTA3;Metastasis-associated protein MTA2 ;Methyl-CpG-binding domain protein 3 ;Methyl-CpG-binding domain protein 2,Hdac1;Zfpm1;Gata1;Hdac2;Rbbp4;Rbbp7;Chd4;Mta1;Gatad2b;Mta3;Mta2;Mbd3;Mbd2,"None;Fog, Fog1;Gf-1;Yy1bp;Rbap48;Rbap46;None;;;;Mta1l1;;"
2835,Profilin 2 complex,Mouse,None,brain,O88935;P28660;P39053;P60710;P63017;P70336;Q64332;Q7TMB8;Q9JJV2,20964;50884;13429;11461;15481;19878;20965;20430;18645,MI:0069- mass spectrometry studies of complexes;MI:0004- affinity chromatography technologies,GO:0006461;GO:0006897;GO:0030036,protein complex assembly;endocytosis;actin cytoskeleton organization,14.10;20.09.18.09.01;42.04.03,assembly of protein complexes;endocytosis;actin cytoskeleton,9463375,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Synapsin-1;Nck-associated protein 1 ;Dynamin-1;Actin, cytoplasmic 1;Heat shock cognate 71 kDa protein;Rho-associated protein kinase 2 ;Synapsin-2 ;Cytoplasmic FMR1-interacting protein 1 ;Profilin-2",Syn1;Nckap1;Dnm1;Actb;Hspa8;Rock2;Syn2;Cyfip1;Pfn2,"Syn-1;Hem2 Kiaa0587 Nap1;Dnm, Kiaa4093;None;Hsc70 Hsc73;;;Kiaa0068 Shyc Sra1;"
2836,Profilin 1 complex,Mouse,None,None,P62962;P63017;P63260;Q01853;Q68FD5;Q9CWF2,18643;15481;11465;269523;67300;73710,MI:0069- mass spectrometry studies of complexes; MI:0004- affinity chromatography technologies,GO:0006461;GO:0006897;GO:0030036,protein complex assembly;endocytosis;actin cytoskeleton organization,14.10;20.09.18.09.01;42.04.03,assembly of protein complexes;endocytosis;actin cytoskeleton,9463375,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"Profilin-1 ;Heat shock cognate 71 kDa protein;Actin, cytoplasmic 2 ;Transitional endoplasmic reticulum ATPase;Clathrin heavy chain 1;Tubulin beta-2B chain",Pfn1;Hspa8;Actg1;Vcp;Cltc;Tubb2b,;Hsc70 Hsc73;Actg;p97;;
2870,TEAD2-multiprotein complex,Mouse,None,None,P46938;P48301;P68254;Q8VBX6,22601;21677;22630;17475,MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients,GO:2001141;GO:0006355,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated",11.02.03.04,transcriptional control,11358867,"In pull down experiments the authors analysed 12 proteins (T1-T12). T1/T2 correspond to YAP, T8 to MUPP1, T10 to 14-3-3, the remaining proteins couldn't be identified. Sedimentation experiments revealed that only about 5% of the complex preparation sedimented as TEAD2-multiprotein complex, about 20 % as monomeric TEAD2 protein, about 75% as TEAD2-YAP complex.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Transcriptional coactivator YAP1;Transcriptional enhancer factor TEF-4 ;14-3-3 protein theta ;Multiple PDZ domain protein,Yap1;Tead2;Ywhaq;Mpdz,Yap Yap65;Etdf Etf Tef4;;Mupp1
2967,Itga9-Itgb1-Thbs1 complex,Mouse,integrin complex,None,P09055;P35441;Q91YD5,16412;21825;104099,MI:0004- affinity chromatography technologies,GO:0001525,angiogenesis,41.05.16,angiogenesis,17413041,"Alpha9-beta1 integrin expressed in microvascular endothelial cells interacts with thrombospondin-1, and this interaction is involved in modulation of angiogenesis.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Integrin beta-1;Thrombospondin-1;Integrin alpha 9 protein,Itgb1;Thbs1;Itga9,None;Tsp1;
2973,Ccd1-Dvl2-Rac complex,Mouse,None,None,P63001;Q60838;Q80Y83,19353;13543;330938,MI:0007- anti tag coimmunoprecipitation,GO:0007254,JNK cascade,30.01.05.01.02,JNK cascade,15262978,"The authors showed that although Ccd1 could not interact directly with Rac, Ccd1, Dvl, and Rac could coexist in the same complex, indicating that Ccd1 inhibited Dvl-mediated JNK activation by forming a ternary complex of Ccd1\u00b7Dvl\u00b7Rac, in which Dvl\u00b7Rac is somehow blocked from further activating JNK. The authors do not exactly describe the Rac GTPase.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Ras-related C3 botulinum toxin substrate 1;Segment polarity protein dishevelled homolog DVL-2;Dixin,Rac1;Dvl2;Dixdc1,None;None;Ccd1 Kiaa1735
2974,Dvl2-Rac complex,Mouse,None,None,P63001;Q60838,19353;13543,MI:0007- anti tag coimmunoprecipitation,GO:0007254,JNK cascade,30.01.05.01.02,JNK cascade,15262978,"The authors showed that although Ccd1 could not interact directly with Rac, Ccd1, Dvl, and Rac could coexist in the same complex, indicating that Ccd1 inhibited Dvl-mediated JNK activation by forming a ternary complex of Ccd1\u00b7Dvl\u00b7Rac, in which Dvl\u00b7Rac is somehow blocked from further activating JNK. The authors do not exactly describe the Rac GTPase.",None,None,Mus musculus (Mouse);Mus musculus (Mouse),Ras-related C3 botulinum toxin substrate 1;Segment polarity protein dishevelled homolog DVL-2,Rac1;Dvl2,None;None
2983,Nkx3.2-SMAD1-SMAD4-HDAC1 complex,Mouse,None,COS cells,O09106;P70340;P97471;P97503,433759;17125;17128;12020,MI:0007-anti tag coimmunoprecipitation,GO:0006265;GO:0045892;GO:0006476;GO:0007178;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;transmembrane receptor protein serine/threonine kinase signaling pathway;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;14.07.04;30.05.01.18;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;transmembrane receptor protein serine/threonine kinase signalling pathways;organization of chromosome structure;nucleus",14612411,Complex formation is enhanced in the presence of BMP signalling. HDAC activity is necessary for transcriptional repression of Nkx3.2.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Mothers against decapentaplegic homolog 1;Mothers against decapentaplegic homolog 4;Homeobox protein Nkx-3.2,Hdac1;Smad1;Smad4;Nkx3-2,"None;Madh1, Madr1;Dpc4, Madh4;Bapx1 Nkx-3.2 Nkx3b"
2984,Nkx3.2-SMAD1-SMAD4-HDAC-Sin3A complex,Mouse,None,COS cells,O09106;P70340;P97471;P97503;Q60520;Q60972;Q60973,433759;17125;17128;12020;20466;19646;245688,MI:0007-anti tag coimmunoprecipitation,GO:0006265;GO:0045892;GO:0006476;GO:0007178;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;protein deacetylation;transmembrane receptor protein serine/threonine kinase signaling pathway;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;14.07.04;30.05.01.18;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;transmembrane receptor protein serine/threonine kinase signalling pathways;organization of chromosome structure;nucleus",14612411,Complex formation is enhanced in the presence of BMP signalling. HDAC activity is necessary for transcriptional repression of Nkx3.2.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Mothers against decapentaplegic homolog 1;Mothers against decapentaplegic homolog 4;Homeobox protein Nkx-3.2;Paired amphipathic helix protein Sin3a;Histone-binding protein RBBP4;Histone-binding protein RBBP7,Hdac1;Smad1;Smad4;Nkx3-2;Sin3a;Rbbp4;Rbbp7,"None;Madh1, Madr1;Dpc4, Madh4;Bapx1 Nkx-3.2 Nkx3b;Kiaa4126;Rbap48;Rbap46"
3029,Drosha complex,Mouse,None,None,O35286;O35737;Q501J6;Q5HZJ0;Q61656;Q921F2;Q9D0E1;Q9EQM6,13204;59013;67040;14000;13207;230908;76936;94223,MI:0004- affinity chromatography technologies; MI:0029- cosedimentation through density gradients; MI:0007- anti tag coimmunoprecipitation,GO:0006396;GO:0003723;GO:0005634,RNA processing;RNA binding;nucleus,11.04;16.03.03;70.10,RNA processing;RNA binding;nucleus,17435748,"The authors purified the large complex of mouse Drosha and showed its function in pre-miRNA and 5.8S rRNA generation in vitro. They speculate that p68 and p72 DEAD-box RNA helicase subunits may function to specifically recognize and stably bind to certain structures of pri-miRNAs and 12S pre-rRNA, and to initiate cleavage at precise RNA sites by Drosha.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 ;Heterogeneous nuclear ribonucleoprotein H ;Probable ATP-dependent RNA helicase DDX17 ;Ribonuclease 3 ;Probable ATP-dependent RNA helicase DDX5 ;TAR DNA-binding protein 43 ;Heterogeneous nuclear ribonucleoprotein M ;Microprocessor complex subunit DGCR8,Dhx15;Hnrnph1;Ddx17;Drosha;Ddx5;Tardbp;Hnrnpm;Dgcr8,Ddx15 Deah9;Hnrph Hnrph1;;Etohi2 Rn3 Rnasen;Tnz2;Tdp43;Hnrpm;
