yourlist:M20220311F248CABF64506F29A91F8037F07B67D145D581K,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q9DCT1,Q9DCT1,AKCL2_MOUSE,reviewed,"1,5-anhydro-D-fructose reductase (AF reductase) (EC 1.1.1.263) (Aldo-keto reductase family 1 member C-like protein 2) (Aldo-keto reductase family 1 member E1) (Aldo-keto reductase family 1 member E2)",Akr1e2 Akr1cl2 Akr1e1,Mus musculus (Mouse),301
P24549,P24549,AL1A1_MOUSE,reviewed,"Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)",Aldh1a1 Ahd-2 Ahd2 Aldh1,Mus musculus (Mouse),501
O35945,O35945,AL1A7_MOUSE,reviewed,"Aldehyde dehydrogenase, cytosolic 1 (EC 1.2.1.3) (ALDH class 1) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A7) (Aldehyde dehydrogenase phenobarbital-inducible)",Aldh1a7 Aldh-pb,Mus musculus (Mouse),501
Q9CZS1,Q9CZS1,AL1B1_MOUSE,reviewed,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)",Aldh1b1 Aldhx,Mus musculus (Mouse),519
Q8R0Y6,Q8R0Y6,AL1L1_MOUSE,reviewed,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),Aldh1l1 Fthfd,Mus musculus (Mouse),902
P47740,P47740,AL3A2_MOUSE,reviewed,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 3) (Fatty aldehyde dehydrogenase),Aldh3a2 Ahd-3 Ahd3 Aldh3 Aldh4,Mus musculus (Mouse),484
Q8CHT0,Q8CHT0,AL4A1_MOUSE,reviewed,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",Aldh4a1,Mus musculus (Mouse),562
Q9DBF1,Q9DBF1,AL7A1_MOUSE,reviewed,Alpha-aminoadipic semialdehyde dehydrogenase (Alpha-AASA dehydrogenase) (EC 1.2.1.31) (Aldehyde dehydrogenase family 7 member A1) (EC 1.2.1.3) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (EC 1.2.1.8) (Delta1-piperideine-6-carboxylate dehydrogenase) (P6c dehydrogenase),Aldh7a1 Ald7a1,Mus musculus (Mouse),539
Q8BH00,Q8BH00,AL8A1_MOUSE,reviewed,2-aminomuconic semialdehyde dehydrogenase (EC 1.2.1.32) (Aldehyde dehydrogenase family 8 member A1) (Retinal dehydrogenase 4),Aldh8a1 Raldh4,Mus musculus (Mouse),487
Q9JLJ2,Q9JLJ2,AL9A1_MOUSE,reviewed,4-trimethylaminobutyraldehyde dehydrogenase (TMABA-DH) (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3),Aldh9a1,Mus musculus (Mouse),494
Q8QZR5,Q8QZR5,ALAT1_MOUSE,reviewed,Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1),Gpt Gpt1,Mus musculus (Mouse),496
Q8BGT5,Q8BGT5,ALAT2_MOUSE,reviewed,Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2),Gpt2 Aat2,Mus musculus (Mouse),522
P07724,P07724,ALBU_MOUSE,reviewed,Albumin,Alb Alb-1 Alb1,Mus musculus (Mouse),608
P47738,P47738,ALDH2_MOUSE,reviewed,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (AHD-M1) (ALDH class 2) (ALDH-E2) (ALDHI)",Aldh2 Ahd-1 Ahd1,Mus musculus (Mouse),519
P05064,P05064,ALDOA_MOUSE,reviewed,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase),Aldoa Aldo1,Mus musculus (Mouse),364
Q91Y97,Q91Y97,ALDOB_MOUSE,reviewed,Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Aldolase 2) (Liver-type aldolase),Aldob Aldo2,Mus musculus (Mouse),364
P05063,P05063,ALDOC_MOUSE,reviewed,Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Aldolase 3) (Brain-type aldolase) (Scrapie-responsive protein 2) (Zebrin II),Aldoc Aldo3 Scrg2,Mus musculus (Mouse),363
P45376,P45376,ALDR_MOUSE,reviewed,Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldo-keto reductase family 1 member B3) (Aldose reductase) (AR) (EC 1.1.1.21),Akr1b1 Akr1b3 Aldor1 Aldr1 Alr2,Mus musculus (Mouse),316
Q9DBE8,Q9DBE8,ALG2_MOUSE,reviewed,"Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)",Alg2 MNCb-5081,Mus musculus (Mouse),415
P56213,P56213,ALR_MOUSE,reviewed,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration),Gfer Alr MNCb-0663,Mus musculus (Mouse),198
O09174,O09174,AMACR_MOUSE,reviewed,Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-methylacyl-CoA racemase),Amacr Macr1,Mus musculus (Mouse),381
Q07456,Q07456,AMBP_MOUSE,reviewed,Protein AMBP [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin],Ambp Itil,Mus musculus (Mouse),349
Q8VCT3,Q8VCT3,AMPB_MOUSE,reviewed,Aminopeptidase B (AP-B) (EC 3.4.11.6) (Arginine aminopeptidase) (Arginyl aminopeptidase) (Cytosol aminopeptidase IV),Rnpep,Mus musculus (Mouse),650
P16406,P16406,AMPE_MOUSE,reviewed,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (BP-1/6C3 antigen) (CD antigen CD249),Enpep,Mus musculus (Mouse),945
Q9CPY7,Q9CPY7,AMPL_MOUSE,reviewed,Cytosol aminopeptidase (EC 3.4.11.1) (Cysteinylglycine-S-conjugate dipeptidase) (EC 3.4.13.23) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase),Lap3 Lapep,Mus musculus (Mouse),519
P97449,P97449,AMPN_MOUSE,reviewed,Aminopeptidase N (AP-N) (mAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Membrane protein p161) (Microsomal aminopeptidase) (CD antigen CD13),Anpep Lap-1 Lap1,Mus musculus (Mouse),966
P55302,P55302,AMRP_MOUSE,reviewed,Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Heparin-binding protein 44) (HBP-44) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP),Lrpap1,Mus musculus (Mouse),360
O35381,O35381,AN32A_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (Leucine-rich acidic nuclear protein) (LANP) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A),Anp32a Anp32 Lanp,Mus musculus (Mouse),247
Q9EST5,Q9EST5,AN32B_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member B (Proliferation-related acidic leucine-rich protein PAL31),Anp32b Pal31,Mus musculus (Mouse),272
Q810B6,Q810B6,ANFY1_MOUSE,reviewed,Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif),Ankfy1 Ankhzn Kiaa1255,Mus musculus (Mouse),1169
Q9JIF0,Q9JIF0,ANM1_MOUSE,reviewed,Protein arginine N-methyltransferase 1 (EC 2.1.1.319) (Histone-arginine N-methyltransferase PRMT1),Prmt1 Hrmt1l2 Mrmt1,Mus musculus (Mouse),371
P32261,P32261,ANT3_MOUSE,reviewed,Antithrombin-III (ATIII) (Serpin C1),Serpinc1 At3,Mus musculus (Mouse),465
P07356,P07356,ANXA2_MOUSE,reviewed,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),Anxa2 Anx2 Cal1h,Mus musculus (Mouse),339
P97429,P97429,ANXA4_MOUSE,reviewed,Annexin A4 (Annexin IV) (Annexin-4),Anxa4 Anx4,Mus musculus (Mouse),319
P48036,P48036,ANXA5_MOUSE,reviewed,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),Anxa5 Anx5,Mus musculus (Mouse),319
P14824,P14824,ANXA6_MOUSE,reviewed,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70),Anxa6 Anx6,Mus musculus (Mouse),673
Q07076,Q07076,ANXA7_MOUSE,reviewed,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),Anxa7 Anx7,Mus musculus (Mouse),463
Q64133,Q64133,AOFA_MOUSE,reviewed,Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),Maoa,Mus musculus (Mouse),526
Q8BW75,Q8BW75,AOFB_MOUSE,reviewed,Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),Maob,Mus musculus (Mouse),520
O54754,O54754,AOXA_MOUSE,reviewed,Aldehyde oxidase 1 (EC 1.2.3.1) (Azaheterocycle hydroxylase 1) (EC 1.17.3.-) (Retinal oxidase),Aox1 Ao Ro,Mus musculus (Mouse),1333
G3X982,G3X982,AOXC_MOUSE,reviewed,Aldehyde oxidase 3 (EC 1.2.3.1) (Aldehyde oxidase homolog 1) (Azaheterocycle hydroxylase 3) (EC 1.17.3.-),Aox3 Aoh1,Mus musculus (Mouse),1335
O35643,O35643,AP1B1_MOUSE,reviewed,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Ap1b1 Adtb1,Mus musculus (Mouse),943
P22892,P22892,AP1G1_MOUSE,reviewed,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),Ap1g1 Adtg Clapg1,Mus musculus (Mouse),822
P35585,P35585,AP1M1_MOUSE,reviewed,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),Ap1m1 Cltnm,Mus musculus (Mouse),423
P17426,P17426,AP2A1_MOUSE,reviewed,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),Ap2a1 Adtaa Clapa1,Mus musculus (Mouse),977
P17427,P17427,AP2A2_MOUSE,reviewed,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),Ap2a2 Adtab,Mus musculus (Mouse),938
Q9DBG3,Q9DBG3,AP2B1_MOUSE,reviewed,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),Ap2b1 Clapb1,Mus musculus (Mouse),937
P84091,P84091,AP2M1_MOUSE,reviewed,AP-2 complex subunit mu (AP-2 mu chain) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein),Ap2m1 Clapm1,Mus musculus (Mouse),435
Q9Z1T1,Q9Z1T1,AP3B1_MOUSE,reviewed,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),Ap3b1,Mus musculus (Mouse),1105
O54774,O54774,AP3D1_MOUSE,reviewed,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin) (mBLVR1),Ap3d1 Ap3d,Mus musculus (Mouse),1199
P56380,P56380,AP4A_MOUSE,reviewed,"Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] (EC 3.6.1.17) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Ap4A hydrolase) (Ap4Aase) (Diadenosine tetraphosphatase) (Nucleoside diphosphate-linked moiety X motif 2) (Nudix motif 2)",Nudt2 Apah1,Mus musculus (Mouse),147
Q8R146,Q8R146,APEH_MOUSE,reviewed,Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase),Apeh,Mus musculus (Mouse),732
P28352,P28352,APEX1_MOUSE,reviewed,"DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]",Apex1 Ape Apex Ref1,Mus musculus (Mouse),317
Q9D7N9,Q9D7N9,APMAP_MOUSE,reviewed,Adipocyte plasma membrane-associated protein (Protein DD16),Apmap,Mus musculus (Mouse),415
Q00623,Q00623,APOA1_MOUSE,reviewed,Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I],Apoa1,Mus musculus (Mouse),264
E9Q414,E9Q414,APOB_MOUSE,reviewed,Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)],Apob,Mus musculus (Mouse),4505
P08226,P08226,APOE_MOUSE,reviewed,Apolipoprotein E (Apo-E),Apoe,Mus musculus (Mouse),311
Q01339,Q01339,APOH_MOUSE,reviewed,Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI),Apoh B2gp1,Mus musculus (Mouse),345
P08030,P08030,APT_MOUSE,reviewed,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),Aprt,Mus musculus (Mouse),180
Q9R0Q6,Q9R0Q6,ARC1A_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 1A (SOP2-like protein) (Sid 329),Arpc1a Sid329,Mus musculus (Mouse),370
Q9WV32,Q9WV32,ARC1B_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),Arpc1b,Mus musculus (Mouse),372
P84078,P84078,ARF1_MOUSE,reviewed,ADP-ribosylation factor 1,Arf1,Mus musculus (Mouse),181
P62331,P62331,ARF6_MOUSE,reviewed,ADP-ribosylation factor 6,Arf6,Mus musculus (Mouse),175
Q99K28,Q99K28,ARFG2_MOUSE,reviewed,ADP-ribosylation factor GTPase-activating protein 2 (ARF GAP 2) (GTPase-activating protein ZNF289) (Zinc finger protein 289),Arfgap2 Zfp289 Znf289,Mus musculus (Mouse),520
Q61176,Q61176,ARGI1_MOUSE,reviewed,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),Arg1,Mus musculus (Mouse),323
Q8CG76,Q8CG76,ARK72_MOUSE,reviewed,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (Succinic semialdehyde reductase) (SSA reductase),Akr7a2 Afar Akr7a5,Mus musculus (Mouse),367
P61211,P61211,ARL1_MOUSE,reviewed,ADP-ribosylation factor-like protein 1,Arl1,Mus musculus (Mouse),181
Q9CQW2,Q9CQW2,ARL8B_MOUSE,reviewed,ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1),Arl8b Arl10c Gie1,Mus musculus (Mouse),186
Q91YI0,Q91YI0,ARLY_MOUSE,reviewed,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),Asl,Mus musculus (Mouse),464
P61161,P61161,ARP2_MOUSE,reviewed,Actin-related protein 2 (Actin-like protein 2),Actr2 Arp2,Mus musculus (Mouse),394
Q99JY9,Q99JY9,ARP3_MOUSE,reviewed,Actin-related protein 3 (Actin-like protein 3),Actr3 Arp3,Mus musculus (Mouse),418
Q9D898,Q9D898,ARP5L_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2),Arpc5l,Mus musculus (Mouse),153
Q9CVB6,Q9CVB6,ARPC2_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),Arpc2,Mus musculus (Mouse),300
Q9JM76,Q9JM76,ARPC3_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),Arpc3,Mus musculus (Mouse),178
P59999,P59999,ARPC4_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC),Arpc4 Arc20,Mus musculus (Mouse),168
Q9CPW4,Q9CPW4,ARPC5_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),Arpc5,Mus musculus (Mouse),151
P50429,P50429,ARSB_MOUSE,reviewed,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),Arsb As1 As1-s,Mus musculus (Mouse),534
P50295,P50295,ARY2_MOUSE,reviewed,Arylamine N-acetyltransferase 2 (EC 2.3.1.5) (Arylamide acetylase 2) (N-acetyltransferase type 2) (NAT-2),Nat2 Aac2,Mus musculus (Mouse),290
Q91WU5,Q91WU5,AS3MT_MOUSE,reviewed,Arsenite methyltransferase (EC 2.1.1.137) (Methylarsonite methyltransferase) (S-adenosyl-L-methionine:arsenic(III) methyltransferase),As3mt Cyt19,Mus musculus (Mouse),376
Q9WV54,Q9WV54,ASAH1_MOUSE,reviewed,Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta],Asah1 Asah,Mus musculus (Mouse),394
P34927,P34927,ASGR1_MOUSE,reviewed,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (Hepatic lectin 1) (HL-1) (mHL-1),Asgr1 Asgr-1,Mus musculus (Mouse),284
Q8VBT9,Q8VBT9,ASPC1_MOUSE,reviewed,Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein homolog),Aspscr1 Tug,Mus musculus (Mouse),550
Q9DCQ2,Q9DCQ2,ASPD_MOUSE,reviewed,Putative L-aspartate dehydrogenase (EC 1.4.1.21) (Aspartate dehydrogenase domain-containing protein),Aspdh,Mus musculus (Mouse),287
Q8BSY0,Q8BSY0,ASPH_MOUSE,reviewed,Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase),Asph Bah,Mus musculus (Mouse),741
P16460,P16460,ASSY_MOUSE,reviewed,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),Ass1 Ass,Mus musculus (Mouse),412
Q9QZW0,Q9QZW0,AT11C_MOUSE,reviewed,Phospholipid-transporting ATPase 11C (EC 7.6.2.1) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C),Atp11c,Mus musculus (Mouse),1129
Q9EPE9,Q9EPE9,AT131_MOUSE,reviewed,Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase),Atp13a1 Atp13a,Mus musculus (Mouse),1200
Q8VDN2,Q8VDN2,AT1A1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),Atp1a1,Mus musculus (Mouse),1023
P14094,P14094,AT1B1_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),Atp1b1 Atp4b,Mus musculus (Mouse),304
P97370,P97370,AT1B3_MOUSE,reviewed,Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298),Atp1b3,Mus musculus (Mouse),278
O55143,O55143,AT2A2_MOUSE,reviewed,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",Atp2a2,Mus musculus (Mouse),1044
G5E829,G5E829,AT2B1_MOUSE,reviewed,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),Atp2b1,Mus musculus (Mouse),1220
Q8BWU8,Q8BWU8,AT2L1_MOUSE,reviewed,Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1),Etnppl Agxt2l1,Mus musculus (Mouse),499
Q9CQQ7,Q9CQQ7,AT5F1_MOUSE,reviewed,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase subunit b) (ATPase subunit b)",Atp5pb Atp5f1,Mus musculus (Mouse),256
Q9D5T0,Q9D5T0,ATAD1_MOUSE,reviewed,Outer mitochondrial transmembrane helix translocase (EC 7.4.2.-) (ATPase family AAA domain-containing protein 1) (Thorase),Atad1,Mus musculus (Mouse),361
Q925I1,Q925I1,ATAD3_MOUSE,reviewed,ATPase family AAA domain-containing protein 3 (AAA-ATPase TOB3),Atad3 Atad3a Kiaa1273,Mus musculus (Mouse),591
Q9CPX6,Q9CPX6,ATG3_MOUSE,reviewed,Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like),Atg3 Apg3l,Mus musculus (Mouse),314
Q9D906,Q9D906,ATG7_MOUSE,reviewed,Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (mAGP7) (Ubiquitin-activating enzyme E1-like protein),Atg7 Apg7l,Mus musculus (Mouse),698
Q6PA06,Q6PA06,ATLA2_MOUSE,reviewed,Atlastin-2 (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2) (ARL-6-interacting protein 2) (Aip-2),Atl2 Arl6ip2,Mus musculus (Mouse),583
Q91YH5,Q91YH5,ATLA3_MOUSE,reviewed,Atlastin-3 (EC 3.6.5.-),Atl3,Mus musculus (Mouse),541
O08997,O08997,ATOX1_MOUSE,reviewed,Copper transport protein ATOX1 (Metal transport protein ATX1),Atox1,Mus musculus (Mouse),68
Q9DCX2,Q9DCX2,ATP5H_MOUSE,reviewed,"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)",Atp5pd Atp5h,Mus musculus (Mouse),161
Q06185,Q06185,ATP5I_MOUSE,reviewed,"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e)",Atp5me Atp5i Atp5k Lfm-1 Lfm1,Mus musculus (Mouse),71
P97450,P97450,ATP5J_MOUSE,reviewed,"ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6) (ATP synthase peripheral stalk subunit F6)",Atp5pf Atp5j,Mus musculus (Mouse),108
Q9CPQ8,Q9CPQ8,ATP5L_MOUSE,reviewed,"ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)",Atp5mg Atp5l,Mus musculus (Mouse),103
Q03265,Q03265,ATPA_MOUSE,reviewed,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",Atp5f1a Atp5a1,Mus musculus (Mouse),553
P56480,P56480,ATPB_MOUSE,reviewed,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",Atp5f1b Atp5b,Mus musculus (Mouse),529
Q9D3D9,Q9D3D9,ATPD_MOUSE,reviewed,"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)",Atp5f1d Atp5d,Mus musculus (Mouse),168
Q91VR2,Q91VR2,ATPG_MOUSE,reviewed,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",Atp5f1c Atp5c1,Mus musculus (Mouse),298
P56135,P56135,ATPK_MOUSE,reviewed,"ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)",Atp5mf Atp5j2,Mus musculus (Mouse),88
